PlotId,RoleID,headline,text,isHint,isTimerShaftNode,saveID
I1105,1,棋技·突出,肖杜薇薇棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1105
I1106,1,种植·突出,肖杜薇薇种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1106
I1107,1,摄影·突出,肖杜薇薇摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1107
I1108,1,烹饪·突出,肖杜薇薇烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1108
I1109,1,考古·突出,肖杜薇薇考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1109
I1110,1,编程·突出,肖杜薇薇编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1110
I1111,1,绘画·突出,肖杜薇薇绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1111
I1112,1,运动·突出,肖杜薇薇运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I1112
,,,,,,
I2001,2,音乐·入门,周子轩音乐能力大涨，各项属性有所上升。,true,true,I2001
I2002,2,表演·入门,周子轩表演能力大涨，各项属性有所上升。,true,true,I2002
I2003,2,舞蹈·入门,周子轩舞蹈能力大涨，各项属性有所上升。,true,true,I2003
I2004,2,手工·入门,周子轩手工能力大涨，各项属性有所上升。,true,true,I2004
I2005,2,棋技·入门,周子轩棋技能力大涨，各项属性有所上升。,true,true,I2005
I2006,2,种植·入门,周子轩种植能力大涨，各项属性有所上升。,true,true,I2006
I2007,2,摄影·入门,周子轩摄影能力大涨，各项属性有所上升。,true,true,I2007
I2008,2,烹饪·入门,周子轩烹饪能力大涨，各项属性有所上升。,true,true,I2008
I2009,2,考古·入门,周子轩考古能力大涨，各项属性有所上升。,true,true,I2009
I2010,2,编程·入门,周子轩编程能力大涨，各项属性有所上升。,true,true,I2010
I2011,2,绘画·入门,周子轩绘画能力大涨，各项属性有所上升。,true,true,I2011
I2012,2,运动·入门,周子轩运动能力大涨，各项属性有所上升。,true,true,I2012
,,,,,,
I2101,2,音乐·突出,周子轩音乐技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2101
I2102,2,表演·突出,周子轩表演技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2102
I2103,2,舞蹈·突出,周子轩舞蹈技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2103
I2104,2,手工·突出,周子轩手工技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2104
I2105,2,棋技·突出,周子轩棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2105
I2106,2,种植·突出,周子轩种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2106
I2107,2,摄影·突出,周子轩摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2107
I2108,2,烹饪·突出,周子轩烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2108
I2109,2,考古·突出,周子轩考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2109
I2110,2,编程·突出,周子轩编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2110
I2111,2,绘画·突出,周子轩绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2111
I2112,2,运动·突出,周子轩运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I2112
,,,,,,
I3001,3,音乐·入门,袁恬雅音乐能力大涨，各项属性有所上升。,true,true,I3001
I3002,3,表演·入门,袁恬雅表演能力大涨，各项属性有所上升。,true,true,I3002
I3003,3,舞蹈·入门,袁恬雅舞蹈能力大涨，各项属性有所上升。,true,true,I3003
I3004,3,手工·入门,袁恬雅手工能力大涨，各项属性有所上升。,true,true,I3004
I3005,3,棋技·入门,袁恬雅棋技能力大涨，各项属性有所上升。,true,true,I3005
I3006,3,种植·入门,袁恬雅种植能力大涨，各项属性有所上升。,true,true,I3006
I3007,3,摄影·入门,袁恬雅摄影能力大涨，各项属性有所上升。,true,true,I3007
I3008,3,烹饪·入门,袁恬雅烹饪能力大涨，各项属性有所上升。,true,true,I3008
I3009,3,考古·入门,袁恬雅考古能力大涨，各项属性有所上升。,true,true,I3009
I3010,3,编程·入门,袁恬雅编程能力大涨，各项属性有所上升。,true,true,I3010
I3011,3,绘画·入门,袁恬雅绘画能力大涨，各项属性有所上升。,true,true,I3011
I3012,3,运动·入门,袁恬雅运动能力大涨，各项属性有所上升。,true,true,I3012
,,,,,,
I3101,3,音乐·突出,袁恬雅音乐技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3101
I3102,3,表演·突出,袁恬雅表演技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3102
I3103,3,舞蹈·突出,袁恬雅舞蹈技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3103
I3104,3,手工·突出,袁恬雅手工技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3104
I3105,3,棋技·突出,袁恬雅棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3105
I3106,3,种植·突出,袁恬雅种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3106
I3107,3,摄影·突出,袁恬雅摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3107
I3108,3,烹饪·突出,袁恬雅烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3108
I3109,3,考古·突出,袁恬雅考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3109
I3110,3,编程·突出,袁恬雅编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3110
I3111,3,绘画·突出,袁恬雅绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3111
I3112,3,运动·突出,袁恬雅运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I3112
,,,,,,
I4001,4,音乐·入门,文有希音乐能力大涨，各项属性有所上升。,true,true,I4001
I4002,4,表演·入门,文有希表演能力大涨，各项属性有所上升。,true,true,I4002
I4003,4,舞蹈·入门,文有希舞蹈能力大涨，各项属性有所上升。,true,true,I4003
I4004,4,手工·入门,文有希手工能力大涨，各项属性有所上升。,true,true,I4004
I4005,4,棋技·入门,文有希棋技能力大涨，各项属性有所上升。,true,true,I4005
I4006,4,种植·入门,文有希种植能力大涨，各项属性有所上升。,true,true,I4006
I4007,4,摄影·入门,文有希摄影能力大涨，各项属性有所上升。,true,true,I4007
I4008,4,烹饪·入门,文有希烹饪能力大涨，各项属性有所上升。,true,true,I4008
I4009,4,考古·入门,文有希考古能力大涨，各项属性有所上升。,true,true,I4009
I4010,4,编程·入门,文有希编程能力大涨，各项属性有所上升。,true,true,I4010
I4011,4,绘画·入门,文有希绘画能力大涨，各项属性有所上升。,true,true,I4011
I4012,4,运动·入门,文有希运动能力大涨，各项属性有所上升。,true,true,I4012
,,,,,,
I4101,4,音乐·突出,文有希音乐技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4101
I4102,4,表演·突出,文有希表演技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4102
I4103,4,舞蹈·突出,文有希舞蹈技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4103
I4104,4,手工·突出,文有希手工技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4104
I4105,4,棋技·突出,文有希棋技技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4105
I4106,4,种植·突出,文有希种植技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4106
I4107,4,摄影·突出,文有希摄影技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4107
I4108,4,烹饪·突出,文有希烹饪技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4108
I4109,4,考古·突出,文有希考古技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4109
I4110,4,编程·突出,文有希编程技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4110
I4111,4,绘画·突出,文有希绘画技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4111
I4112,4,运动·突出,文有希运动技术表现突出，获得了大家的一致认可，各项属性大幅提升,true,true,I4112
,,,,,,
park1,,公园散步,学生们心情恢复6点,true,,
park2,,公园散步,学生们心情恢复10点,true,,
park3,,公园散步,学生们心情恢复6点，绘画提升10点,true,,
park4,,公园散步,学生们心情恢复8点，考古提升10点,true,,
park5,,公园散步,学生们心情恢复30点，语文提升20点,true,,
,,,,,,
court1,,球场运动,学生们体质提升1点，运动提升6点,true,,
court2,,球场运动,学生们心情恢复2点，体质提升1点，运动提升6点,true,,
court3,,球场运动,学生们收获丰富，心情恢复5点，体质提升1，运动提升10,true,,
court4,,球场运动,学生们收获丰富，心情恢复10点，运动提升30点，表演提升5点,true,,
