EndID,Level,StudentID,EndName,Description,信任,气质,思维,口才,体质,GESymbol,GoodAndEvil,语文,数学,英语,政治,历史,地理,物理,化学,生物,音乐,表演,舞蹈,手工,棋技,种植,摄影,烹饪,考古,编程,绘画,运动,FriendID,FriendshipValue
12,1,all,人事专员,"name加入了一家不大不小的创业企业，从事着招聘工作。虽然职位不高，但也为公司挖来过许多大牛人才，获得了不少“年度伯乐”奖。
name很喜欢现在的工作，座右铭是：千里马不吃草，吃肉。往往能在最大限度上满足应聘者的薪资要求。",0,10,30,30,,>,20,400,300,,400,,,,,,,200,,,,,,,,,,,null,0
13,1,all,人事专员,"name加入了一家不大不小的创业企业，从事着招聘工作。虽然职位不高，但也为公司挖来过大牛人才。
name很喜欢现在的工作，座右铭是：我为公司节省了不少开销。看见工资比自己高的应聘者，往往能够最大限度的“压榨”工资，将薪资降低到极限。",0,10,30,30,,<,20,400,300,,400,,,,,,,200,,,,,,,,,,,null,0
14,1,all,行政专员,"name加入了一家管理非常严格的公司，公司的每日行政任务多如牛毛，规矩更是几张纸都写不完。name作为行政专员必须比其他人更早的到公司，因为TA拿着公司的钥匙。
每天在前台签到、搬水、倒垃圾，TA每天渴望着领导能多看自己一眼，提拔自己升职。",0,10,,,,>,0,400,,,,,,,,,,,,,,,,,,,,,null,0
15,2,all,人事经理,"name加入了一家劳务派遣公司，每天需要处理大量的人力资源管理事物，
name挑中的人才往往更任劳任怨、能够稳定工作，别人问：为什么？name笑笑：我更懂人们需要什么。",10,10,,,,>,0,880,,,,,,,,,,,,,,,,,,,,,null,0
16,2,all,人事经理,"name加入了一家劳务派遣公司，短短2年就升职成为了人事经理。经常出现于各大高校的校招现场、人才市场的演讲台。
name常常能够以极低的价格招募到劳动力，深得老板喜爱。
",,10,,,,<,0,880,,,,,,,,,,,,,,,,,,,,,null,0
17,1,all,仓库管理员,"name加入一家本地商贸公司，负责管理仓库物资。
与其说是管理员，不如说是一个人形钥匙，同事们有什么需要都会找name开门，name也对此乐此不疲。
得益于旷阔的人脉，name也是公司小道消息最广的存在。",,,,,,>,0,400,400,,,,,,,,,,,,,,,,,,,,null,0
18,2,all,程序员,"name在毕业之初加入了智者科技，但奈何新人竞争激烈，被刷了下来。后来加入了一家本地的科技公司，一直任职至今。
网上都说程序员都是秃头职业，但name不一样，良好的作息让TA依旧有着乌黑浓密的头发。
name的水平并不出众，但好在代码习惯良好，能够很好的完成任务，上司称TA为最容易交接的程序员。",,,20,,,,,200,500,200,,,,,,,,,,,,,,,,500,,,null,0
19,3,all,高级软件工程师,"name凭借不错的编程水平，加入了一家科技公司，担任主程序员的职位。
name的代码难以被外人阅读，以至于出了问题总是需要亲自解决，这也导致了TA经常出现在加班名录中，深得老板赞赏。
name有时会想，如果当年再努力学习一些，应该就不用再加班了。",30,,30,,,,,200,600,300,,,,,,,,,,,,,,,,600,,,null,0
20,3,all,高级硬件工程师,"name加入了一家电子厂，相比软件，硬件公司更像传统企业。没有996、没有那么多年轻人。
name很满意现在的工作，看着曾经的同学天天加班、脱发头秃，自己虽然工资不多，但过得非常滋润。",30,,40,,,,,200,700,400,,,,100,100,,,,,,,,,,,700,,,null,0
21,4,all,高级算法工程师,"name凭借高超的编程水平和数学建模能力，加入了智者科技的AI研发部门。
虽然没有在管理层上升职，但在技术层上已经达到了天花板，经常在博客中探讨一些高精尖的技术，是诸多编程萌新口中的大佬。
name的个人身价已经达到1850万美金，是众多科技公司千方百计想要挖过来的人才。",30,,50,,,,,200,850,500,,,,200,200,,,,,300,,,,,,850,,,null,0
22,5,all,首席程序架构师,"name在计算机领域已经无人能及，别看职位“只是”首席程序构架师，TA所能做的事情更多。
name毕业后拒绝了众多科技公司的招揽，指定要加入二向箔游戏，扬言要做一些不可能的事情。不出所料，1年后二向箔游戏推出了第一代智能头盔，开始向脑波游戏进发......
不出5年，name就获得了诺贝尔科学奖，同时被提名科学院院士。二向箔游戏CEO直言：name是个传奇人物。",30,,60,,,,,200,900,600,,,,500,500,,,,,500,,,,,,900,,,null,0
23,1,all,话务员,"name没有什么太特殊的本领，凭借曾经学过的一些编程理论，成为了电信公司的一名话务员。
name时长反思，我是不是读书的时候太懒了，以至于始终找不到更好的工作。",,,,,,,,,,,,,,,,,,,,,,,,,,400,,,null,0
24,2,all,电信业务营业员,"name的综合能力非常不错，机缘巧合下加入了电信公司，成为了一名业务营业员。
注意，这里的营业员不是帮忙充话费的那位，name负责的是拉网线、修光猫、办理企业宽带等更具专业性的工作。
说来也遗憾，原本name是可以从事更轻松且更高薪的工作的，但name的家里觉得进入国企更好，就没再让name更换工作。稳定下来后name也不再想着高升了。",,20,30,20,,,,400,400,400,,,,,,,,,,200,,,,,,400,,,null,0
25,3,all,通信技术工程师,"name的综合能力非常不错，机缘巧合下加入了电信公司，起初的职位只是营业员，后来凭借不错的学习能力考到了工程师证书，顺利升职成为通信技术工程师。
虽然name的特长能力并不突出，但是综合多方面来说懂得更多，气质上佳、能说会道、思维敏捷，同时又懂技术，可以说是八面玲珑。
唯一不完美的是，name节假日基本不能休息，需要在公司待命，以迎接通信交换高峰，随时准备解决突发状况。",,20,40,20,,,,400,400,400,,,,,,,,,,200,,,,,,400,,,null,0
26,1,all,机械维修工程师,"name由于没有拿得出手的文凭，找工作时常常碰壁。最后凭借一点手工技艺，找到了一份机械维修的工作。
其实name也不会多少维修，往往只是把机器拆开，清理灰尘，然后机器又能工作了。一旦遇到难以解决的问题都是寻求帮助。
name常常后悔当年没有认真读书，哪怕再努力一分一毫，也不至于沦落到假维修工的境地。",,,20,,,,,200,200,,,,,300,,,,,,300,,,,,,,,,null,0
27,2,all,机械工程师,"name毕业后没有找到符合心意的工作，辗转之后应聘了机械工程师的岗位。
机械帮助人们完成重活、累活，但是一旦机械出了问题，就必须要维修，现在的重活、累活就变成了工程师们的了。
name手下有4位维修工程师，但是那些工程师都是有力气没脑子的家伙，经常做出违反安全条例的行为，这让name非常糟心。",,,20,,,,,200,300,,,,,300,,,,,,400,,,,,,,,,null,0
28,3,all,机械设计师,"name加入了一家本地的机械零件制造厂，负责机械设计与制图。
虽然摆脱了“一线工人”的岗位，但是工作并不轻松，由于公司使用的是某种非主流制图软件，使得name的制图速度与图纸可读性都很差，总是需要反复与他人交代注意事项。",,,20,,,,,200,700,500,,,,400,,,,,,500,,,,,,,,,null,0
29,4,all,航天器设计师,"name凭借出众的综合水平，加入了航空航天公司，与众多科学家们一同研发宇宙飞船。
即使做着全世界顶尖难度的工作，name也与众多同志们一样，默默无闻。然后在不久的将来为祖国的天空增添“飞鸟”。
或许是爱幻想的原因，name非常希望自己能够驾驶一艘飞船，去往仙女座......",30,,50,,,>,20,200,800,500,,,,800,500,,,,,900,,,,,,,200,,null,0
30,5,all,军工设计师,"name凭借出众的手工水平和优秀的政治面貌，加入了军工企业，成为了一名军工设计师。
name带领的团队研发出东风导弹88型急速EMP导弹，这种导弹的飞行速度达到了2.3万千米/时，爆炸时不仅有不俗的威力，还能瘫痪敌方的电子设备，让对方失去电子战的能力。
name因此获得了“共和国勋章”。",30,,50,,,>,50,500,800,500,,,,800,500,,,,,900,,,,,,,200,,null,0
31,1,all,测量工程师助理,"name没有什么特别的本领，在老同学的帮助下，找到了测量助理的职位。
name每天帮助测绘员搬仪器、举尺子、整理资料，枯燥且没有什么压力。令人高兴的是，预计明年name就能升职成为正式测量工程师了。",,,10,,30,,,,500,,,,,300,,,,,,,,,,,,,,,null,0
32,2,all,地质工程师,"name的物理和体质非常不错，毕业后进入了一家地质勘探队。
name经常在大山中的临时棚屋生活，条件非常艰苦。常挂在嘴边的一句话是：“辛苦完这几年，我要在一线城市买套房”，就这样，name在大山里工作了几十年。",,,10,,30,,,,600,,,,,700,,,,,,,,,,,,,,,null,0
33,3,all,采矿工程师,"name的综合素质非常不错，毕业后加入了黑金矿业。
这里需要申明的是，name所在的矿山并不是煤矿，所以这里的工人也不会一脸煤黑，更不会出现小说里拿着矿稿挖矿的场景。
name负责的是爆破作业，通常都是打炮孔、装药、连线，最后爆破。得益于name的细心、严格，他负责的爆破工作从来没有发生过盲炮，就连爆破下来的矿石大小都非常均匀，深得矿长赞许。",,,20,,30,,,,700,,,,,800,,,,,,,,,,,,,,,null,0
34,1,all,银行信贷员,"name托关系进入了一家民营银行，现在从事放贷工作。
name的职位虽然是信贷员，但实际上大多时候name都是负责跑腿的那个，送资料、核对信息、交接材料就是name的日常。
或许再送几年资料，name就能升职成能在客户面前签名的人。",,,20,20,,>,20,300,200,300,300,,,,,,,,,,,,,,,,,,null,0
35,2,all,外汇交易员,"name原本没有什么兴趣爱好，突然某一天，在某财经频道的吹嘘下，进入了外汇交易的圈子。
刚开始时投资水平平平无奇，后来也许是抓到了秘诀，经常能赚到钱，之后name也就全身心投入到了外汇交易中。
时至今日，name在外汇交易的工作中也算是赚得一个小康生活了。",,,20,20,,>,20,400,300,300,300,,,,,,,,,,,,,,,,,,null,0
36,2,all,银行贷款部经理,"name的口才很不错，进入银行后迅速升职成为了贷款部经理。经常游走于顾客之间，放出笔笔贷款。
得益于name的花言巧语和对数字的敏感，name的顾客很少变成老赖，或许不久的将来name也能成为银行行长。",,,20,45,,>,20,500,700,400,400,300,,,,,,,,,,,,,,50,,,null,0
37,4,all,银行地区行长,"name名校毕业，为人正直，从入职到现在短短6年就成为了黑湖分行行长。
作为黑湖分行的一把手，name经常出席政界、商界的各种会议，这些会议往往与银行无关，但奈何总是被邀请。
作为行长，name总是第一时间知晓各种小道消息，有政策变动的、有企业欠款的、也有民间资金流动的。这也让name总能避开收不回的贷款，无过就是功。",,,20,30,,>,20,600,800,800,800,300,,,,,,,,,,,,,50,50,,,null,0
38,5,all,银行总行长,"name的思维能力超乎常人，升职经历更是传奇。
刚入职不久便揭发了一起贿赂案，破格提拔为贷款经理。一年后的工作中凭借察言观色，加上对数字的敏感，发现了一家知名企业涉嫌黑恶势力，并且收集到有力证据，从而受到了总行的赏识，提拔为总行长助理。
升职后的name更是如鱼得水，所有工作都做得井井有条。鉴于name拍板的投资从来不令人失望，并且非常服众，老行长退休时name被破格推荐为总行长。
成为总行长的name疯狂投资，目前看来，如果能够成功，name所在的银行极有可能成为全国顶尖银行。",,,80,40,,>,20,600,900,800,800,400,,,,,,,,,,,,,50,50,,,null,0
39,2,all,记者,"name没有好好培养兴趣爱好，毕业后凭借良好的综合素质进入记者行列。
虽然经常需要拿着话筒东奔西跑，虽然经常忍饥挨饿三餐不正，虽然经常搞到手的素材被驳回。name也从来没有后悔成为一名记者，因为自己的话筒就是老百姓发声的渠道，name要为所有遭受不公正待遇的人发声。",,30,30,35,10,,,600,,600,,,,,,,,200,,,,,,,,,,,null,0
40,2,"1,3,4",作家·撰稿人,"name放弃了原本的工作，成为了一名职业网文写手。要问为什么，因为可以宅家工作。
name的小说非常的“随大流”，什么题材火就写什么，从龙傲天到种田基建，什么系统文、文抄文、重生穿越文，可以说是什么都写过，但是都不温不火，始终没能写出爆款。
最令name痛心疾首的是，近期的新书甚至没有出现在某盗版网站中。",,,50,,,,,600,,600,,,,,,,,,,,,,,,,,,,null,0
41,3,all,文学作家,"name是一位传统作家，为什么说是传统呢，因为name的文章都是发表到文章期刊中，《母亲的锅铲》一文甚至被高考命题组纳入高考阅读理解，这个“光辉时刻”困扰了name很久。
面对一群考生的询问，name只能唯唯诺诺，只能说：“标准答案把我写作时心境诠释得很准确，只是我写的时候没想这么多。”",,,60,,,,,600,,600,,600,,,,,,,,,,,,,,,,,null,0
42,3,all,电台主持人,"name名校毕业，口才出众，通过考试进入了一家广播台，担任主持人的职位。
即使name有着很高的口语水平，受新华字典对某些字读音的“反复横跳”，name经常被领导克扣工资，每次拿到工资条都要一个人默默的哭一阵子。
令人高兴的是，name不久后会调离新闻岗，前往娱乐岗，到时候可以使用近义词替代那些不是那么确定读音的词语。",,20,30,50,,,,600,,600,500,,,,,,200,200,,,,,,,,,,,null,0
43,4,all,电视主持人,"集美貌与才华的name在一次机缘巧合下成为了电视主持人。
name所在的节目组是一个真人秀的娱乐节目，主要内容是明星们按照提示要求在深山中“狩猎”。name通过长时间的与明星们互动，使自己也颇有明星范了。",,40,40,55,,,,600,,600,500,,,,,,200,200,,,,,,,,,,,null,0
44,4,all,报刊发行总编辑,"name原本是一位小说作家，有着撰写评论的爱好，可奈何小说销量不佳，频频受挫，TA写的书评却全是点赞。在一次作家交流会中，总编认为name很有评论家的潜质，于是推荐TA做专业书评家，郁郁不得志的name接受了这个职位。
果然上帝为你关闭一扇门，就会为你打开一扇门。name成为书评家后如鱼得水，对他人文章的精髓剖析得非常出色，往往能够一语中的的点出中心思想。
不久后name就升职为总编辑，对他人的投稿刊登有着极大的拍板权利。",,,50,60,,,,800,,800,,300,,,,,,,,,,,,,,,,,null,0
45,2,all,舞蹈演员,"name的文化水平不高，又懒于读书，好在有着不错的舞蹈功底，加入了一家不错的歌舞团。
舞蹈演员的工作印证了那句老话“台上三分钟，台下十年功”，TA们往往为了一次演出，排练半年之久才能登台跳舞，而且一支舞往往演出不了几次又会开始迭代，为下一支舞排练。
你在一个舞蹈视频中看到了name，TA就在领舞旁边，脸上还有些藏不住的稚嫩，相信不久后name也能够成为领舞。",,10,,,0,,,,,,,,,,,,,,500,,,,,,,,,,null,0
46,3,all,舞蹈教师,"name有着不错表演才能和舞蹈功底，同时又能说会道。现在在一家舞蹈培训机构工作。
如果说什么工作能像神仙一样轻松，那name现在的工作就是了。每周只有3节课，其余时间都是自由活动，遇到调休还能自由活动一个星期，出国旅游都绰绰有余。",,10,25,15,0,,,,,,,,,,,,,500,500,,,,,,,,,,null,0
47,4,all,舞蹈大师,"name有着非常深厚的舞蹈本领，TA做出来的动作明明与他人一样，但总能给人一种赏心悦目的感觉。网上对name评论最多的就是“狐狸精”总是勾得网友们挪不开眼睛。
你看到name跳的舞，总是会一阵恍惚“哇~这真的是我曾经的学生吗”，不由的感叹name的成长。",,45,,,45,,,,,,,,,,,,200,800,800,,,,,,,,,500,null,0
48,4,all,舞蹈编导,"name在一个舞蹈团中担任舞蹈编导，其实原本name只是舞蹈演员中的一个，但后来被发现TA有着很高的审美意识，就逐渐被培养成了编导。
编导的工作非常需要细心与耐心，不断重复着推演，不断思考着如何变化，还要关照演员们的身心健康。name时常觉得自己是演员们的父母，总是要指挥他们完成舞蹈的排练，孩子犯错还要一一纠正。",30,10,30,10,20,,,,,,,,,,,,500,,800,,,,,,,,,,null,0
49,5,all,编舞大师,"name从业舞蹈事业多年，其实认真算起来也没多少年。
现在已经是编舞大师了，TA所编排的舞蹈从春晚到奥运，从国内到国外，都有着很多记录。不过name编舞有个小爱好，就是从来不允许男女混编，要么统一性别，要么男的站一边，女的站一边，据name自己说的：“我还是单身，不想在工作中吃狗粮”。",30,,58,,0,,,,,,,,,,,,300,800,800,,,,,,,300,,300,null,0
50,4,all,舞蹈博主,"name结合名族舞、爵士舞等舞蹈特点，自创了一种叫“时代舞”的舞蹈种类，有着入门难度适中、姿态优美有不失劲爆、活力阳刚的特点，去除了某些舞蹈中阴柔、妖媚、性暗示的思想。
“时代舞”的典型就是《地铁》了，据说已经被纳入了中学课间操的列表中，广场舞中更是遍地“时代舞”，似乎这舞天生就是为我国民众打造的，有着非常广泛的传播力。",,35,28,20,15,,,,,,,,,,,,200,200,800,,,,200,,,,,,null,0
51,3,all,舞蹈网红,"name颜值高、身材好，经常在网络上发布自己跳舞的视频，有着丰富上网经验的TA总能紧跟潮流，引爆一些洗脑魔性的舞蹈潮流。
几年来已经有着400多万的关注，播放量最高的视频有6000多万，是个名副其实的舞蹈网红。",,55,20,30,15,,,,,,,,,,,,200,400,800,,,,200,,,,,200,null,0
52,2,all,歌手,"name在一次歌唱选秀节目中脱颖而出，获得了广泛的关注。虽然名气不大，总是翻唱各种歌曲，也没有自己的歌，但是name总是能乐在其中。
name有时候会尝试自己作曲，虽然偶有灵感，但是毫无经验的name始终做不出曲子来。",,15,,10,,,,500,,500,,,,,,,500,,,,,,,,,,,,null,0
53,4,all,当红歌星,"name在几年前就出道成为歌手了，颜值高、唱歌好听、说话温柔，是大家对TA的评价。
与大多数歌手不同的是，name很少出现在电视节目中，也很少被邀请参加各类活动。更多的时候都是在唱歌、拍MV、拍视频、在网络上与粉丝互动，有时候会被人觉得name是个网红，根本不像正经歌手。
或许是因为name的爆火过于突然，仅仅凭借一曲《拒绝起床》就红遍大江南北，导致被很多人看不起，在网络上往往被人看低一截。name知道自己还有很长的路要走，所以不急不慢，总是细细打磨好作品，向世界传递着自己的“能量”。",,45,,,,,,500,,900,,,,,,,900,600,,,,,,,,,,,null,0
54,4,all,名作曲家,"name不知什么时候开始，已经是一位明作曲家了。如今当红的热歌《地铁》、《拒绝起床》、《你的外卖到了》里的作曲一栏都惊喜般的写着“name”。
你试听了这几首歌曲，总觉得自己始终无法欣赏其韵味，不由得感叹自己老了，跟不上时代了。",,,45,,,,,900,,900,,,,,,,900,,,,,,,,,,,,null,0
55,3,all,琵琶大师,"name在大学期间才开始学习琵琶，刚入手就展现出惊人的天赋。毕业后考取了高级证书，开始了卖艺生涯。
name很有艺术家的素养，专注于创作、演奏，几乎不参与网络上的争名逐利。
name曾辗转多个视频、音乐平台，手抖、快音、油哩、管哔......都有过TA的足迹，虽然没有赚到什么钱，但有着近千万的粉丝。
",,,30,,20,,,,,,,400,,,,,800,,,,,,,,,,,,null,0
56,2,all,调音师,"name苦学调音多时，又对音乐现场氛围较为敏感，毕业后就进入了一家迪厅，担任调音师的职位。
迪厅的顾客们往往都是20来岁的年轻人，他们对美好的事物总是充满向往。而气质良好又多才多艺的name自然成了香饽饽，经常收获大量的搭讪与媚眼，让name苦不堪言。",,15,,,,,,,,,,,,,,,600,,,,,,500,,,,,,null,0
57,4,all,音乐网站创始人,"name在一次趴音乐素材时突发奇想，现在市面上都没有专业音频共享平台，如果自己做一个是不是很有前途？于是name运用自己对音乐版权的理解和勉勉强强的编程技术，成立了一个音乐素材站。
name的网站与众多作曲家达成了合作，提供了乐曲的展示、授权、出售一条龙服务，还有许多作曲家提供了免费商用的曲目，得到了广泛的赞扬。",,15,15,,,,,300,,500,,,,,,,800,,,,,,,,,600,,,null,0
58,5,all,古典乐传奇作家,"name的古典乐造诣非常高超，所著乐曲虽然只有十余首，但每首都有非常独特的魅力，是音乐界独特的传奇人物。
name最近的一曲《工作》更是以纯音乐登上热歌榜首，可以说是史无前例、独此一家了。",,40,20,,,,,800,,700,,800,,,,,800,,,,,,,,800,,,,null,0
59,4,all,名雕塑家,"name手工技艺神乎其乎，TA的作品完美结合了工业和艺术，具有良好的实用性的同时雕刻技艺精湛。
name最出名的作品便是万工车，万工车是一架能够真正还原变形金刚的车子，能开驾驶的同时编程行走状态，而且驾驶员能够在车内完成全部操作，可谓是巧夺天工。
据说第一辆万工车拍卖成交价高达27亿......",,,40,,40,,,,,,,,,800,,,,,,800,,,,,,,800,400,null,0
60,4,all,名书法家,"name是书法家协会排名第三的书法家，因其自创的光印体而被大众熟知。这种字体运笔难度极大，笔迹不连贯，每一笔都看似非字，写成后却又能看出字来，明明只有黑白两色，却让人遐想无数。
现在name所创的这种字体广泛运用在春联、门牌、牌位、墓碑上，很有高大上的感觉。",,,40,,,,,900,,900,500,500,,,,,,,,600,,,,,600,,600,,null,0
61,2,"1,2,3",赌徒,"name没有好好工作，在一次朋友聚会中被拉入地下赌场，从此堕落成为赌徒。
TA卖掉了家里一切之前的东西，与家人决裂，借款无数。遇到朋友不是TA躲着朋友就是朋友躲着TA，或者说已经没有了什么朋友。你也不例外，手里还拿着一张10000元借条，说是要投资开火锅店的。
",,,,,,<,0,,,,,,,,,,,,,,300,,,,,,,,null,0
62,2,all,围棋爱好者,"name毕业后从事过很多工作，超市店员、理发助理、快递员......可惜都做不长，没有一个干过半年的。name的上一份工作是送外卖，据说是老是超时又没继续做了。
现在name准备发展围棋技术，今后做一个围棋教师。",,,10,,,>,0,,,,,,,,,,,,,,400,,,,,,,,null,0
63,3,all,职业围棋选手,"name出于对围棋的喜爱，辞掉了原来的工作，每日在家中研究围棋，经常参加各种围棋比赛。
name的下棋套路非常不传统，或许是受到人工智能下法的影响，name的开局总是令人摸不着头脑，却又往往能在一子间让对手“瞳孔地震”，甘拜下风。
name也是为数不多能在快棋中对阵人工智能还有20%以上胜率的人，或许不久后name能开创出结合传统围棋与智能围棋的新围棋下法。",,,40,,,>,0,,,,,,,,,,,,,,800,,,,,,,,null,0
64,3,all,围棋教师,"name的围棋水平高超，又能说会道，在几次比赛获奖后不再参赛，成为了一名职业围棋教师。
name的学生大多是小学生，学习围棋也不是为了要当围棋选手，他们的父母或许只是希望孩子能够多多锻炼思维。
由于1对1教学的工作并不稳定，name的收入也是时有时无，好在name头脑不错，买的股票、基金经常能够赚到钱，生活过得非常不错。",,,30,20,,>,0,,,,,,,,,,,,,,800,,,,,,,,null,0
65,3,all,棋牌游戏开发者,"name毕业后成立了一家游戏公司，专门开发棋牌游戏，销往海外。
斗牛、炸金花、德州扑克、梭哈、红黑大战......各种玩法一应俱全，现还推出了线上真人发牌服务，可以说是研发里最懂棋牌的了。",30,,20,,,>,0,,,,,,,,,,,,,,500,,,,,500,,,null,0
66,4,all,棋牌游戏创始人,"name棋牌界沉沦多年，突发奇想地自创了一种叫“三斗”的扑克玩法，牌友们试玩后都表示非常好玩。之后name便投身三斗APP的研发，APP问世后受到了广泛的关注和大量玩家的参与，name也赚得盆满钵满，成为了棋牌界的大人物。
据说不久前name宣布要争取让三斗进入奥运会，更是吸引了一大波玩家加入“战斗”。",30,,50,,,>,0,,,,,,,,,,,,,,800,,,,,800,,,null,0
67,2,"1,4",小区棋牌室大神,"name没有找到称心的工作，每天在楼下打麻将、打扑克、下象棋，玩得不亦乐乎。
name没有收入，但家底很不错，所以生活也没有什么金钱压力，除了偶尔被说教几句，还有经常被叫去相亲。
name的下棋水平很高，经常会让着其他人，所以大家都称TA一声“棋圣”，逢年过节也会送TA一些礼物。",,,,,,>,0,,,,,,,,,,,,,,500,,,,,,,,null,0
68,5,"3,4",雀神,"name的麻将技艺神乎其乎，自出道职业麻将手后，专门前往各大棋牌室踢馆，虽然都是无注牌局，但name依然被全省“拉黑”禁止进入各大棋牌室。
name的麻将胜率巅峰时达到93%，最近一直稳定在88%，甚至有专门分析师在后台计算，得出从洗牌开始，麻将就似乎自主排列成了name的最佳组合。据说曾有5位分析师被逼疯，扬言“科学不存在”“世界是有神的”。
最恐怖的是，经过name必胜定律的计算，可以反向推导出即将骰出的点数。
name表示：我什么也没干，可能只运气好？",,,80,,,>,0,,,,,,,,,,,,,,900,,,,,,,,null,0
69,2,"2,3",旧农民,"name学习了不少种植知识，又对打工没有兴趣。索性回家继承家业，继续种地卖菜。
name全家的菜地都被TA一人包圆了，稻田里种着茁壮的水稻，菜地里种着大片大片的胡萝卜，山上的山坡上还种着茶树，非常有田园气息。
name的收入很低，空闲的时间非常多，似乎最近开始在村子里打麻将了。",,,,,0,,,,,,,,,,,300,,,,,,500,,,,,,200,null,0
70,2,all,农场承包者,"name毕业后凭借不错种植水平与商业头脑，承包一片山地和鱼塘，开始了养殖大业。
name坚信土鸡土鸭的口感更好，更能卖钱，坚持给禽畜喂食米糠、野菜、虫鱼，绝不粘一粒饲料。
name养的鸡总是娇小许多，喜欢在草丛里飞奔，偶尔还能看到飞到围栏顶上的，可以说是土鸡中的野鸡了。",,,,,20,,,500,500,,,,,,,600,,,,,,600,,,,,,300,null,0
71,3,"2,3",科学农场承包者,"name毕业后回到了家乡，开始学以致用，运用农业新技术来养殖鸡鸭鹅。
name的禽舍可不得了，每只鸡都有单独的小房间，避免细菌传播；传送带喂食，减少人工消耗；高压水枪自动冲洗粪便，环保又高效。
name的农舍非常之多，足足有30多个，惊人的是员工只有10人，仅仅鸡就有近百万只。他们负责了农场的全部生产活动。据说最轻松的时候只需要每天看看有没有鸡不高兴，然后就可以下班了。",,,,,20,,,500,500,,,,500,500,,700,,,,500,,900,,,,600,,,null,0
