id,year,text
87,2024,某男子恶意攻击“网络钱包”导致自己钱包余额丢失，损失近万元。安全部门人员表示，他攻击的是自己的钱包，导致钱包余额失踪，没有对其他人造成影响。
88,2024,少年戒毒所开始使用网络小说作为镇静药物替代物，有显著效果
89,2024,直辖市、省、自治区三方形成三大经济、教育、生活阶梯
90,2024,朝阳群众举报某克姓明星为塔罗会成员，警方迅速出击，但只抓到了一张纸
91,2024,第87位名为“李小白”的人被劫持，目击者称劫持李小白的人会飞，手里拿着一个冒着电光的锤子。根据以往经验，李小白会在10天后被“释放”
92,2024,在审美疲劳的大背景下，开始有大量“丑东西”占据潮流，直面丑、讨论丑、购买丑，正在成为一部分人的选择。
93,2024,天龙市开始“灰尘覆盖”计划，致力打造无颗粒悬浮城市
94,2024,我国农业机械化面积占比达到60%，明年可达67%
95,2024,全国首个无人露天矿山在彩云省建成，为今后无人地下矿山打下基础
96,2024,二向箔游戏发布新游《英雄训练大师》，引起广泛关注
97,2024,腾达老板裴总：希望大家不要过度解读，我只是很爱花钱
98,2024,非洲香蕉出现大面积枯萎，香蕉可能迎来灭绝
99,2024,爱心人士购买217个活狗屠宰场，只希望人们不要再吃狗肉
100,2024,香菜协会被反香菜人士渗透，开始研发香菜病毒，旨在灭绝香菜
101,2025,人工智能AI已经能够实现自主创业
102,2025,美丽国开始撤除男女厕所标识，以追求性别自由
103,2025,一大妈接到诈骗电话，骗子教大妈转账，4小时都没教会，逃过一劫
104,2025,男子刑满释放后求助12345，想回看守所：我想过规律的生活
105,2025,男子诈骗百万爱上受害人，奔现被抓：受害人很大方，自己动了真感情
106,2025,儿媳到派出所接迷路婆婆回家， 半小时后报警：我俩又迷路了“不是一家人，不进一家门”
107,2025,我国自研芯片已达到世界前三水准
108,2025,瑞士银行冻结数家中企资金
109,2025,最后一只金丝长尾彩冠雀死亡，现已宣布灭绝
110,2025,朋克城发布10款人类未来研究模板
111,2025,水星游泳馆发现天花板大洞
112,2025,辅导班发现一只巨型老鼠，负责人：已被爱心人士领养
113,2025,一味的追求文化课成绩，会让人失去理想
114,2025,只精通一门学科是不够的，与之相关的学科也要有所涉猎才行
115,2025,个人素质的培养同样重要
116,2025,体质差劲猝死率是普通人的20倍
117,2025,天龙市幼儿园分班：社恐班、社牛班
118,2025,千滚水比不滚水更健康
119,2025,螺蛳粉成为大学校园最受欢迎的餐品
120,2025,传广南省拟为同性婚姻立法
121,2025,三胎成为00后家庭的主流，90后表示无法理解
122,2025,华南首富之子因在校被同学嘲笑相貌，斥千万整容
123,2025,颅骨重塑技术实现商业化，头被睡扁的成年人有福了
124,2025,宗州成为首个实现碳中和的工业城市
125,2025,研究表明，早睡的后果是早起，并发症是早上8点钟就会非常清醒
